source,target,weight
26417015,377350150,2.0
838033969954320385,63996778,2.0
123281100,2397840366,2.0
882724194148110336,216776631,2.0
1157065455623954432,43078558,2.0
4004609957,216776631,2.0
3141672447,216776631,2.0
802584787,216776631,2.0
234210005,492833134,2.0
978864793477054465,492833134,2.0
460233029,1109400043881226240,2.0
3224321133,115129636,2.0
22596164,43078558,2.0
2228878592,1171909867021492226,2.0
1020134989172748294,939091,2.0
4165642155,762390432437399556,2.0
33537967,999392118115356673,2.0
2228878592,1190136594352590849,2.0
236487888,999392118115356673,2.0
548384458,26417015,2.0
25073877,418867782,2.0
886696144683794432,226222147,2.0
43014978,601537492,2.0
598973191,188793260,2.0
26417015,896536097655853059,2.0
1125399808670351361,18247062,2.0
3345579826,226222147,2.0
25073877,4165642155,2.0
357606935,999392118115356673,2.0
860530914,226222147,2.0
727137760574857216,84219973,2.0
2256965582,4165642155,2.0
1145899973139034112,1037989633,2.0
22596164,14297863,2.0
26637348,851335608702189568,2.0
4228788018,84219973,2.0
68611923,489057924,2.0
470468291,84219973,2.0
84894878,84219973,2.0
4214321,16721452,2.0
2810692520,1120819174476062722,2.0
33537967,16721452,2.0
847111508890976257,18247062,2.0
113364160,168406203,2.0
3141672447,168406203,2.0
758042170968375296,394101339,2.0
18266688,1127683471592296448,2.0
802584787,394101339,2.0
521996289,22204234,2.0
732980827,21545041,2.0
931286316,964658316021587970,2.0
803774148338188289,3074932775,2.0
978864793477054465,84219973,2.0
16691174,1116173691270811649,2.0
25073877,84894878,2.0
823367015830323201,4048852873,2.0
1120819174476062722,226222147,2.0
2228878592,1490442355,2.0
321774180,3074932775,2.0
2918212191,598973191,2.0
793658020743876608,11856892,2.0
770781940341288960,84894878,2.0
2353605901,3266619146,2.0
548384458,999392118115356673,2.0
860530914,1143571304404148224,2.0
162104004,46764631,2.0
2324935292,46764631,2.0
2810692520,27753686,2.0
3345579826,27753686,2.0
860530914,27753686,2.0
851335608702189568,885661050,2.0
1159058331320901633,746813582386438144,2.0
860530914,746813582386438144,2.0
837421871654031360,1116173691270811649,2.0
1140659626444070912,1189782859688660995,2.0
321774180,1209994700,2.0
762390432437399556,15757578,2.0
216776631,36423281,2.0
216776631,859315448,2.0
902548250057728001,859315448,2.0
811298843337850880,859315448,2.0
2449913803,999084321184141312,2.0
818910970567344128,847111508890976257,2.0
920122212,16625082,2.0
1685873604,27493883,2.0
406483952,4872993094,2.0
11134252,4872993094,2.0
802529272623726593,741955390653534208,2.0
1168567780549058561,1184727405308633088,2.0
2228878592,14823835,2.0
25073877,1070785811396919297,2.0
19211550,38917331,2.0
2353605901,1070785811396919297,2.0
818910970567344128,1722907592,2.0
2353605901,1722907592,2.0
816736590412337158,1573472503,2.0
822215673812119553,1722907592,2.0
43753976,179341792,2.0
816683274076614656,1722907592,2.0
21522828,818948638890217473,2.0
939091,27493883,2.0
3141672447,947964830358622209,2.0
4165642155,790629748024029184,2.0
2228878592,319525018,2.0
727137760574857216,978864793477054465,2.0
321774180,890306613785088000,2.0
27943005,890306613785088000,2.0
406483952,964658316021587970,2.0
18266688,964658316021587970,2.0
3074932775,1041318026451152896,2.0
13524182,121631678,2.0
21978222,15099295,2.0
2324935292,15099295,2.0
22740127,15099295,2.0
823367015830323201,731608385645318144,2.0
1131542859902083072,48142004,2.0
1127683471592296448,26487169,2.0
76763663,35516339,2.0
758042170968375296,35516339,2.0
598973191,35516339,2.0
357606935,1127347059676385280,2.0
847111508890976257,17685258,2.0
3088857280,17685258,2.0
727137760574857216,3000620722,2.0
216776631,833839440,2.0
347627434,45676731,2.0
1155339846371741696,60403024,2.0
25073877,814979549503115264,2.0
2353605901,814979549503115264,2.0
931286316,814979549503115264,2.0
39076082,2351909388,2.0
471677441,1036803577207877632,2.0
1004178700466876416,43014978,2.0
1172589774235938816,20104539,2.0
1157065455623954432,20104539,2.0
832170559,20104539,2.0
944378643232448512,20104539,2.0
928755127,23359769,2.0
3266619146,61008839,2.0
14372270,716842239813558272,2.0
601537492,793658020743876608,2.0
236487888,1046201039320494081,2.0
43014978,1046201039320494081,2.0
27493883,1046201039320494081,2.0
959538422812676096,11134252,2.0
188793260,1090388423733583874,2.0
27282113,27493883,2.0
14839147,709161467401019392,2.0
25506240,1123329338,2.0
503400523,709161467401019392,2.0
1157065455623954432,2964839109,2.0
15212187,709161467401019392,2.0
26487169,709161467401019392,2.0
23359769,709161467401019392,2.0
492833134,3266619146,2.0
18266688,956989774010732544,2.0
620571475,874970256,2.0
1148461061999194112,188793260,2.0
216776631,861398108,2.0
378295286,861398108,2.0
626455898,834657630,2.0
460233029,26637348,2.0
1640929196,834657630,2.0
188793260,945012234215755776,2.0
885661050,945012234215755776,2.0
711287276479754241,23903580,2.0
2918212191,23903580,2.0
920122212,23903580,2.0
183673918,23903580,2.0
521996289,23903580,2.0
859315448,23903580,2.0
15975316,23903580,2.0
716842239813558272,23903580,2.0
2228878592,1162841025846677504,2.0
1145899973139034112,2964839109,2.0
2155027064,1170523367616720896,2.0
2964839109,1170523367616720896,2.0
1148461061999194112,521996289,2.0
25073877,16315143,2.0
3141672447,757272075484565504,2.0
216776631,757272075484565504,2.0
3141672447,521996289,2.0
833839440,757272075484565504,2.0
16625082,757272075484565504,2.0
23903580,757272075484565504,2.0
18108585,1000075108491382784,2.0
76751473,1166042641064243200,2.0
21545041,11134252,2.0
3530404094,733063923620945920,2.0
729676086632656900,733063923620945920,2.0
3085494124,733063923620945920,2.0
940430173517811714,733063923620945920,2.0
26487169,733063923620945920,2.0
17685258,733063923620945920,2.0
45676731,733063923620945920,2.0
4270724112,37110994,2.0
547155318,260759782,2.0
23903580,1091145234279481347,2.0
216776631,715620316228292611,2.0
945012234215755776,715620316228292611,2.0
762390432437399556,18247062,2.0
3141672447,49128933,2.0
216776631,49128933,2.0
23903580,49128933,2.0
471677441,722171848201383937,2.0
1009577803304656896,722171848201383937,2.0
715617989656051712,722171848201383937,2.0
1493248418,1143571304404148224,2.0
236487888,27282113,2.0
18320938,786179658,2.0
471677441,2721049359,2.0
797127998164107264,2721049359,2.0
212391284,2721049359,2.0
492854622,14731096,2.0
4270724112,14731096,2.0
2228878592,875257637016924160,2.0
20104539,875257637016924160,2.0
236487888,27493883,2.0
18247062,784744998734532608,2.0
793658020743876608,562498029,2.0
25073877,788131075318910976,2.0
1086976130819809280,893331068,2.0
42074224,893331068,2.0
492833134,2596413645,2.0
1145899973139034112,43078558,2.0
52338305,1083157067463098370,2.0
76763663,17877451,2.0
758042170968375296,17877451,2.0
1159058331320901633,357523121,2.0
3224321133,939091,2.0
823367015830323201,1083157067463098370,2.0
822215673812119553,1083157067463098370,2.0
1168567780549058561,887364546,2.0
620571475,1083157067463098370,2.0
816683274076614656,1083157067463098370,2.0
84894878,18247062,2.0
236487888,811215353183424513,2.0
999392118115356673,939091,2.0
771152516,2228878592,2.0
823367015830323201,1204230348609064961,2.0
16930125,740264413178023936,2.0
2559436158,3241154353,2.0
816736590412337158,792660210,2.0
43014978,734184327391645696,2.0
389532043,734184327391645696,2.0
20640982,805837455697977344,2.0
939091,805837455697977344,2.0
27493883,805837455697977344,2.0
1159058331320901633,1143571304404148224,2.0
3345579826,939091,2.0
729676086632656900,865225293841158145,2.0
823367015830323201,865225293841158145,2.0
65497475,2397840366,2.0
822215673812119553,865225293841158145,2.0
816683274076614656,865225293841158145,2.0
818910970567344128,762390432437399556,2.0
592730371,865225293841158145,2.0
1493248418,937729411947876357,2.0
226222147,937729411947876357,2.0
18266688,2864856363,2.0
2228878592,1199546555109392384,2.0
1173388464,553991829,2.0
470468291,553991829,2.0
847111508890976257,931286316,2.0
1173808918398722048,1204908453187244035,2.0
851335608702189568,43078558,2.0
1917731,973698792519282688,2.0
18266688,94132483,2.0
2228878592,1164013468854431744,2.0
7027112,821134316637802501,2.0
18266688,762390432437399556,2.0
84219973,2468708726,2.0
999084321184141312,2468708726,2.0
601537492,833402240241065984,2.0
321774180,3885806474,2.0
42074224,3885806474,2.0
1145899973139034112,258854542,2.0
408875175,258854542,2.0
1184362499518402560,258854542,2.0
1173808918398722048,258854542,2.0
1170523367616720896,258854542,2.0
875257637016924160,258854542,2.0
865225293841158145,1083551928821448710,2.0
1909127594,30726383,2.0
1027727549550526464,30726383,2.0
47471027,30726383,2.0
1004178700466876416,61734492,2.0
25073877,823367015830323201,2.0
722171848201383937,30726383,2.0
786179658,30726383,2.0
893331068,30726383,2.0
821134316637802501,30726383,2.0
722171848201383937,53091029,2.0
1088096065558102017,939091,2.0
22596164,1142061161359249409,2.0
1131542859902083072,1142061161359249409,2.0
1170523367616720896,1142061161359249409,2.0
860530914,82643763,2.0
171954269,255812611,2.0
928755127,3981225735,2.0
1083157067463098370,3981225735,2.0
470468291,488236286,2.0
838033969954320385,488236286,2.0
802529272623726593,1208260348849115137,2.0
606907410,246103,2.0
30726383,15965107,2.0
734783792502575105,243459994,2.0
1094282233949622272,823367015830323201,2.0
1131542859902083072,15579405,2.0
1170523367616720896,15579405,2.0
389532043,1046201039320494081,2.0
802584787,378295286,1.0
818910970567344128,520421064,1.0
2256965582,520421064,1.0
729676086632656900,520421064,1.0
25073877,39076082,1.0
15445129,805516112456581120,1.0
52544275,847111508890976257,1.0
2353605901,847111508890976257,1.0
1173388464,847111508890976257,1.0
3530404094,847111508890976257,1.0
3836008983,847111508890976257,1.0
729676086632656900,847111508890976257,1.0
38378898,3241154353,1.0
4004609957,3241154353,1.0
171954269,61734492,1.0
1020134989172748294,61734492,1.0
14327933,1195456421116043270,1.0
25073877,778743512,1.0
2864856363,778743512,1.0
520421064,778743512,1.0
626455898,3103213542,1.0
1157065455623954432,1140659626444070912,1.0
4004609957,127156294,1.0
758042170968375296,127156294,1.0
802584787,127156294,1.0
2228878592,22596164,1.0
30354991,26417015,1.0
472034589,26417015,1.0
800570658929262592,26417015,1.0
4214321,26417015,1.0
16582131,26417015,1.0
260759782,26417015,1.0
96675300,26417015,1.0
1072386122548830209,26417015,1.0
956989774010732544,4165642155,1.0
769870028204220417,4165642155,1.0
959538422812676096,4165642155,1.0
221121595,4165642155,1.0
21522828,4165642155,1.0
829715365223682048,851335608702189568,1.0
882724194148110336,851335608702189568,1.0
1135270672735903746,851335608702189568,1.0
460233029,851335608702189568,1.0
1018720749929066497,489057924,1.0
33537967,7027112,1.0
548384458,16721452,1.0
547155318,16721452,1.0
96675300,16721452,1.0
2155027064,1174583791744147456,1.0
2559436158,394101339,1.0
1150143856618430464,394101339,1.0
3141672447,394101339,1.0
246871490,21545041,1.0
729676086632656900,21545041,1.0
778743512,21545041,1.0
30354991,25506240,1.0
1003945095371030531,813880878837268480,1.0
1112903145838071808,598973191,1.0
13524182,598973191,1.0
771152516,598973191,1.0
802584787,598973191,1.0
1067293117,598973191,1.0
26637348,598973191,1.0
471677441,834511028641624066,1.0
87983041,834511028641624066,1.0
216776631,834511028641624066,1.0
756903193901162496,78231411,1.0
2547790158,78231411,1.0
1125399808670351361,770781940341288960,1.0
769870028204220417,983766825610694656,1.0
959538422812676096,983766825610694656,1.0
3530404094,1070785811396919297,1.0
25837289,1070785811396919297,1.0
770781940341288960,1070785811396919297,1.0
983766825610694656,1070785811396919297,1.0
357606935,634706965,1.0
2865907814,21879831,1.0
357606935,1106357423042899969,1.0
14816103,408875175,1.0
294822641,408875175,1.0
1162757233987522562,408875175,1.0
478855762,939190598497644544,1.0
1125399808670351361,939190598497644544,1.0
1108472017144201216,939190598497644544,1.0
21545041,939190598497644544,1.0
548384458,850062189272674304,1.0
779742611628175360,850062189272674304,1.0
732980827,850062189272674304,1.0
57362322,850062189272674304,1.0
471677441,803774148338188289,1.0
198357693,803774148338188289,1.0
49698134,803774148338188289,1.0
886696144683794432,803774148338188289,1.0
43014978,803774148338188289,1.0
52338305,3950712869,1.0
2353605901,3950712869,1.0
3530404094,3950712869,1.0
25837289,3950712869,1.0
770781940341288960,3950712869,1.0
22596164,1901404746,1.0
14823835,1901404746,1.0
788131075318910976,47293791,1.0
221121595,47293791,1.0
1125399808670351361,47293791,1.0
847111508890976257,47293791,1.0
3950712869,47293791,1.0
2559436158,170641465,1.0
76763663,170641465,1.0
14816103,1164013468854431744,1.0
1109400043881226240,1164013468854431744,1.0
22596164,1164013468854431744,1.0
1174583791744147456,1164013468854431744,1.0
14816103,1496936984,1.0
22596164,1496936984,1.0
1018720749929066497,860530914,1.0
3152337114,860530914,1.0
357523121,860530914,1.0
30354991,402888514,1.0
33537967,402888514,1.0
1173388464,727137760574857216,1.0
221121595,727137760574857216,1.0
1112903145838071808,920122212,1.0
47340859,920122212,1.0
113364160,920122212,1.0
394101339,920122212,1.0
769870028204220417,1182332284403376128,1.0
16721452,1456953931,1.0
1121492192235806721,1159585651110666246,1.0
14816103,219915177,1.0
22596164,219915177,1.0
2155027064,16691174,1.0
1722834998,16691174,1.0
2155027064,1131542859902083072,1.0
1064280595755237377,1131542859902083072,1.0
1722834998,1131542859902083072,1.0
14816103,1131542859902083072,1.0
1162757233987522562,1131542859902083072,1.0
14823835,1131542859902083072,1.0
1901404746,1131542859902083072,1.0
1496936984,1131542859902083072,1.0
829715365223682048,183673918,1.0
2863996955,183673918,1.0
1150143856618430464,183673918,1.0
3141672447,183673918,1.0
701081673681637376,183673918,1.0
19161570,183673918,1.0
771152516,76751473,1.0
26512972,76751473,1.0
1162757233987522562,76751473,1.0
1140659626444070912,76751473,1.0
25073877,1069422303816138752,1.0
818910970567344128,1094282233949622272,1.0
1074782372594413569,1094282233949622272,1.0
1091216816,4228788018,1.0
18266688,4228788018,1.0
2353605901,4228788018,1.0
878087280321335298,4228788018,1.0
454513795,4228788018,1.0
770781940341288960,4228788018,1.0
47293791,4228788018,1.0
727137760574857216,4228788018,1.0
25801216,1173786247,1.0
790627627,1173786247,1.0
96675300,1173786247,1.0
818910970567344128,234210005,1.0
2353605901,234210005,1.0
47293791,234210005,1.0
818927131883356161,875106966,1.0
246500501,875106966,1.0
460233029,97114302,1.0
22596164,97114302,1.0
1174583791744147456,97114302,1.0
25073877,802529272623726593,1.0
25073877,3224321133,1.0
19084896,3224321133,1.0
123281100,3224321133,1.0
30354991,3224321133,1.0
101816065,3224321133,1.0
1685873604,3224321133,1.0
3690888203,1150860862426628101,1.0
875106966,39344374,1.0
471677441,60354031,1.0
4091551984,60354031,1.0
101816065,60354031,1.0
19161570,60354031,1.0
25073877,470468291,1.0
21522828,470468291,1.0
14327933,2149412456,1.0
3152337114,2149412456,1.0
