retweeted_time,retweeted_id,retweeted_user_id,retweeted_username,retweeted_user_location,retweeted_hashtags,retweet_time,retweet_id,retweet_expanded_urls_array,retweet_origin_user_id,retweet_origin_username,retweet_origin_user_location,retweet_origin_user_intro_expanded_url,retweet_origin_user_des_expanded_url,retweet_origin_retweet_count,retweet_origin_hashtags,quoted_time,quoted_id,quoted_expanded_urls_array,quoted_origin_user_id,quoted_origin_username,quoted_origin_user_location,quoted_origin_user_intro_expanded_url,quoted_origin_user_des_expanded_url,quoted_origin_retweet_count,quoted_origin_hashtags,retweeted_full_text,retweeted_origin_full_text,quoted_origin_full_text
Fri Dec 06 23:58:02 +0000 2019,1203101320653217793,64367632,Abdul Razaq Narwal,Sheffield UK & Bantry Ireland,,Fri Dec 06 23:45:00 +0000 2019,1203098041370267650,,2286189025,Indigenous,American Indians & Friends,http://indigenous-tairp.com/,,24.0,"[{'text': 'FreeLeonardPeltier', 'indices': [92, 111]}, {'text': 'INDIGENOUS', 'indices': [137, 148]}, {'text': 'TAIRP', 'indices': [149, 155]}]",,,,,,,,,,,"RT @AmericanIndian8: Night Leonard You're not forgotten Turtle Mountain Indian Reservation Belcourt,North Dakota #FreeLeonardPeltier @POTUS…","Night Leonard You're not forgotten Turtle Mountain Indian Reservation Belcourt,North Dakota #FreeLeonardPeltier @POTUS @realDonaldTrump  #INDIGENOUS #TAIRP https://t.co/g3KEtVVLuo",
Fri Dec 06 23:58:01 +0000 2019,1203101318849671168,203224209,Army Veteran,United States,,,,,,,,,,,,,,,,,,,,,,@T_G_Preston @realDonaldTrump Can't you read? He didn't do sheet!,,
Fri Dec 06 23:58:03 +0000 2019,1203101325896114176,14600832,rgividen,,,Fri Dec 06 23:39:16 +0000 2019,1203096598462504961,,25073877,Donald J. Trump,,http://DonaldJTrump.com,,7877.0,,,,,,,,,,,,RT @realDonaldTrump: All necessary work has been completed to declare Mexican Cartels terrorist organizations. Statutorily we are ready to…,"All necessary work has been completed to declare Mexican Cartels terrorist organizations. Statutorily we are ready to do so. However, at the request of a man who I like and respect, and has worked so well with us, President Andres Manuel @LopezObrador_ we....",
Fri Dec 06 23:58:04 +0000 2019,1203101328961982464,829047868581220354,Bigly Nasty,"San Diego, CA",,,,,,,,,,,,,,,,,,,,,,"OMFG. Trump's ego is pathetic, and so are the sycophants who feed into it. https://t.co/jUK130Tll3",,
Fri Dec 06 23:58:02 +0000 2019,1203101324059009024,1100559793838874626,Levi Hamrick,"North Carolina, USA",,Fri Dec 06 23:42:45 +0000 2019,1203097476842053635,,25073877,Donald J. Trump,,http://DonaldJTrump.com,,5342.0,"[{'text': 'MAGA', 'indices': [95, 100]}, {'text': '2A', 'indices': [153, 156]}]",,,,,,,,,,,RT @realDonaldTrump: Congressman @LanceGooden has done a wonderful job for the people of Texas while supporting our #MAGA Agenda. He contin…,"Congressman @LanceGooden has done a wonderful job for the people of Texas while supporting our #MAGA Agenda. He continues to protect your very important #2A. Lance is Strong on Crime and the Border, he Loves our Great Vets and Military. Lance has my Complete &amp; Total Endorsement!",
Fri Dec 06 23:58:01 +0000 2019,1203101319642468353,3198208396,Professor Weeb,,,,,,,,,,,,,,,,,,,,,,,"This is 100% something @BernieSanders needs to get on in an ad. The campaign could possibly manage to pick up some of the support that Buttigieg is grifting, and expand the base. https://t.co/gZTg9qeo2I",,
Fri Dec 06 23:58:01 +0000 2019,1203101318178574337,1179173793241194497,lee meeker,,,Thu Dec 05 17:38:03 +0000 2019,1202643310835359744,,25073877,Donald J. Trump,,http://DonaldJTrump.com,,14555.0,,,,,,,,,,,,RT @realDonaldTrump: Republican Approval Rating = 95%. Thank you!,Republican Approval Rating = 95%. Thank you!,
Fri Dec 06 23:58:01 +0000 2019,1203101320237989889,14568965,PeterW TL-FL0316,"Florida, USA",,Fri Dec 06 23:39:16 +0000 2019,1203096598462504961,,25073877,Donald J. Trump,,http://DonaldJTrump.com,,7877.0,,,,,,,,,,,,RT @realDonaldTrump: All necessary work has been completed to declare Mexican Cartels terrorist organizations. Statutorily we are ready to…,"All necessary work has been completed to declare Mexican Cartels terrorist organizations. Statutorily we are ready to do so. However, at the request of a man who I like and respect, and has worked so well with us, President Andres Manuel @LopezObrador_ we....",
Fri Dec 06 23:58:03 +0000 2019,1203101327259246595,1052365299633319936,VoteBlueInEveryElection💙🇺🇸🇵🇷🌴✌💙🇺🇦,"Colorado, USA",,Fri Dec 06 17:39:50 +0000 2019,1203006145377525760,,1191427719315238913,🇺🇸 🇺🇦 Constitutional Law Fella🇺🇸 🇺🇦,"Langley AFB, Virginia ",https://bsky.app/profile/conlaw60654.bsky.social,,17.0,,,,,,,,,,,,RT @Constit71567558: @RudyGiuliani 1) @realDonaldTrump says you are not his lawyer. 2) we have an entire federal government with multiple l…,@RudyGiuliani 1) @realDonaldTrump says you are not his lawyer. 2) we have an entire federal government with multiple legal and enforcement departments that have investigated this. Your services are not needed. Thank you. Please come home. @SDNYnews has some additional questions.,
Fri Dec 06 23:58:03 +0000 2019,1203101326202359808,253318042,Maria Jose Barela,Estados Unidos,,Fri Dec 06 23:49:12 +0000 2019,1203099098926239744,,143294767,Oliver López Cano,Venezuela,https://linktr.ee/oliverlopezcano,,105.0,"[{'text': 'EEUU', 'indices': [16, 21]}]",,,,,,,,,,,RT @OliverLopezCano: EN COLOQUIAL:  ¡#EEUU SE MAMO de @jguaido!  Pa' que se entienda en lo criollo.  Y voy más alla catire @realDonaldTrump…,EN COLOQUIAL:  ¡#EEUU SE MAMO de @jguaido!  Pa' que se entienda en lo criollo.  Y voy más alla catire @realDonaldTrump!!  LOS VENEZOLANOS NOS MAMAMOS de toda esa cúpula CORRUPTA Y CÓMPLICE DEL RÉGIMEN.,
Fri Dec 06 23:58:01 +0000 2019,1203101317360582657,76383130,Voting 4 Trump 🇺🇸 God Bless America! Ultra MAGA,"Mission Viejo, California",,Fri Dec 06 23:39:16 +0000 2019,1203096598462504961,,25073877,Donald J. Trump,,http://DonaldJTrump.com,,7877.0,,,,,,,,,,,,RT @realDonaldTrump: All necessary work has been completed to declare Mexican Cartels terrorist organizations. Statutorily we are ready to…,"All necessary work has been completed to declare Mexican Cartels terrorist organizations. Statutorily we are ready to do so. However, at the request of a man who I like and respect, and has worked so well with us, President Andres Manuel @LopezObrador_ we....",
Fri Dec 06 23:58:16 +0000 2019,1203101379683700736,806594622839324672,Hahndo,ID,,Fri Dec 06 23:39:16 +0000 2019,1203096599435644928,,25073877,Donald J. Trump,,http://DonaldJTrump.com,,4950.0,,,,,,,,,,,,RT @realDonaldTrump: ....will temporarily hold off this designation and step up our joint efforts to deal decisively with these vicious and…,....will temporarily hold off this designation and step up our joint efforts to deal decisively with these vicious and ever-growing organizations!,
