user_id,degree,community_id,weighted_degree,pagerank,政客bias,媒体bias
18108585,3,10,4.0,0.0007144414155238,,
3085494124,1,0,2.0,0.0005206296691613,,
940430173517811714,1,0,2.0,0.0005206296691613,,
4270724112,5,10,7.0,0.0007513335223103,,
37110994,4,10,5.0,0.0008792400055302,,
49128933,19,8,22.0,0.0043076713284098,,
722171848201383937,11,10,16.0,0.0019217483166957,,
18320938,6,10,7.0,0.0009377575115396,,
786179658,17,10,19.0,0.0023917457943042,,
797127998164107264,14,10,15.0,0.0016754064520641,,
212391284,4,10,5.0,0.0005736619178387,,
492854622,4,10,5.0,0.0005707954833416,,
14731096,4,10,6.0,0.0013617919117602,,
875257637016924160,15,1,18.0,0.0030553939716768,,
562498029,11,10,12.0,0.0023487071610474,,
42074224,7,10,9.0,0.0006934775626236,,
2596413645,13,0,14.0,0.0017685310141141,,
357523121,8,7,9.0,0.0005808871504472,,
887364546,4,1,5.0,0.0006765790956045,,
771152516,25,1,26.0,0.0005575026006474,,
740264413178023936,2,8,3.0,0.0011420886435499,,
734184327391645696,15,10,17.0,0.0032221371139271,,
389532043,11,10,13.0,0.0030759804063417,,
65497475,3,10,4.0,0.0006370364780759,,
592730371,4,0,5.0,0.0007405550601862,,
1199546555109392384,14,1,15.0,0.0049767287796376,,
1204908453187244035,5,1,6.0,0.0011420944820437,,
1164013468854431744,13,1,14.0,0.0006576492490346,,
821134316637802501,10,10,12.0,0.0011978630345788,,
833402240241065984,1,10,2.0,0.0006691368229538,,
3885806474,4,10,6.0,0.0008138779373028,,
258854542,18,1,24.0,0.0050279970387437,,
1083551928821448710,13,0,14.0,0.0083448999704659,,
47471027,4,10,5.0,0.0005372734680814,,
61734492,5,10,6.0,0.000812346955245,,
1142061161359249409,22,1,25.0,0.0031775069357722,,
82643763,7,1,8.0,0.0024865170186297,,
255812611,2,10,3.0,0.0008249815136319,,
3981225735,5,0,7.0,0.0026409238639715,,
488236286,5,0,7.0,0.0022523087815385,,
1208260348849115137,1,0,2.0,0.000760229924344,,
246103,12,10,13.0,0.0060335993584241,,
15965107,11,10,12.0,0.0195097617265046,,
734783792502575105,7,10,8.0,0.0059242756123932,,
243459994,10,10,11.0,0.0086063606919571,,
15579405,19,1,21.0,0.0061900945389594,,
15445129,1,6,1.0,0.0005206296691613,,
805516112456581120,1,6,1.0,0.0009631048469951,,
52544275,3,0,3.0,0.0005206296691613,,
38378898,6,8,6.0,0.0005206296691613,,
14327933,11,7,11.0,0.0005206296691613,,
1195456421116043270,4,7,4.0,0.000560854685328,,
778743512,9,0,9.0,0.0006459981292795,,
3103213542,2,10,2.0,0.000609124704728,,
127156294,7,8,7.0,0.0006253696059353,,
472034589,3,10,3.0,0.0006134145737139,,
96675300,10,10,10.0,0.0008255114404834,,
1018720749929066497,5,7,5.0,0.0005403955808282,,
813880878837268480,1,10,1.0,0.0005434255075274,,
1112903145838071808,5,8,5.0,0.0005206296691613,,
834511028641624066,7,10,7.0,0.0006066531298393,,
87983041,13,10,13.0,0.0006424401758885,,
78231411,2,10,2.0,0.0007487627534775,,
25837289,4,0,4.0,0.0005206296691613,,
634706965,2,10,2.0,0.0005300440346471,,
2865907814,3,10,3.0,0.0005206296691613,,
21879831,2,10,2.0,0.0006681213951059,,
1106357423042899969,1,10,1.0,0.0005300440346471,,
14816103,9,1,9.0,0.0005706058657602,,
939190598497644544,5,0,5.0,0.0007598824458391,,
779742611628175360,2,10,2.0,0.0005206296691613,,
57362322,7,10,7.0,0.0005988789682471,,
198357693,3,10,3.0,0.0005349030619946,,
49698134,2,10,2.0,0.0005206296691613,,
47293791,10,0,10.0,0.0007778179756668,,
402888514,2,10,2.0,0.0006093954243271,,
47340859,3,8,3.0,0.000542753428053,,
1182332284403376128,2,0,2.0,0.0005661779966618,,
1159585651110666246,2,10,2.0,0.0006312484636197,,
701081673681637376,2,8,2.0,0.0005390525213785,,
19161570,8,10,8.0,0.000591060108546,,
1069422303816138752,4,0,4.0,0.0005218353235968,,
1074782372594413569,2,0,2.0,0.0005206296691613,,
1091216816,2,0,2.0,0.0005359227965474,,
878087280321335298,1,0,1.0,0.0005206296691613,,
25801216,4,10,4.0,0.0005592281924501,,
1173786247,4,10,4.0,0.000921905752611,,
818927131883356161,1,0,1.0,0.0005206296691613,,
246500501,4,0,4.0,0.0005206296691613,,
19084896,14,10,14.0,0.0005206296691613,,
101816065,3,10,3.0,0.0005206296691613,,
3690888203,4,8,4.0,0.0005390525213785,,
39344374,2,0,2.0,0.0005912273852413,,
4091551984,3,10,3.0,0.0005206296691613,,
2149412456,10,7,10.0,0.0008093634772405,,
179245596,1,0,1.0,0.0005574531655252,,
1178967284297154563,18,8,18.0,0.0011371280279077,,
18805188,4,8,4.0,0.0006460933974212,,
905153319253004288,3,0,3.0,0.0005918895095518,,
21862217,26,1,26.0,0.0008934900787274,,
204444440,4,0,4.0,0.0006780666393457,,
2955491920,7,10,7.0,0.0009863930142495,,
887742563444301824,1,10,1.0,0.0005206296691613,,
830886553123700736,2,10,2.0,0.0006883593375059,,
2917736960,5,8,5.0,0.000680681803877,,
15976705,4,10,4.0,0.0005434255075274,,
245963716,3,0,3.0,0.0005206296691613,,
912735824793493504,2,10,2.0,0.0006883593375059,,
130798456,2,0,2.0,0.0006037858906205,,
3257227629,4,8,4.0,0.0005206296691613,,
435331179,5,8,5.0,0.0005434255075274,,
1103424121986265093,4,0,4.0,0.0007850470462439,,
25202268,3,0,3.0,0.0005442830053969,,
100594799,4,0,4.0,0.0005206296691613,,
958408514807967751,1,0,1.0,0.0005206296691613,,
1052663066037506048,1,0,1.0,0.0005206296691613,,
2715687970,3,10,3.0,0.0005206296691613,,
20742461,1,10,1.0,0.0005206296691613,,
151930383,2,0,2.0,0.0006274350600154,,
26900055,4,0,4.0,0.0011774058274869,,
1034868411354861568,5,10,5.0,0.0005952664437664,,
827934520112472065,1,10,1.0,0.0006471208156046,,
2950103415,5,0,5.0,0.0007728608570477,,
341194704,2,0,2.0,0.0005293056530404,,
4789918822,14,10,14.0,0.0013613188152464,,
963223121363861504,6,10,6.0,0.0006049549707484,,
19080151,1,10,1.0,0.0005206296691613,,
34793170,9,10,9.0,0.0039237087792369,,
886595855691784195,14,0,14.0,0.0013787867361067,,
