domain,bias
oglobo.globo.com,right leaning
blogs.oglobo.globo.com,right leaning
cbn.globoradio.globo.com,center
www.nationalreview.com,right
nationalreview.com,right
www.vcstar.com,left leaning
www.democracynow.org,left
www.bfmtv.com,center
bfmbusiness.bfmtv.com,center
rmc.bfmtv.com,center
www.efe.com,center
tnholler.com,left
www.zerohedge.com,fake news
cms.zerohedge.com,fake news
Zerohedge.com,fake news
www.redstate.com,right
redstate.com,right
RedState.com,right
upward.news,right leaning
variety.com,left leaning
www.economist.com,center
projects.economist.com,center
econ.st,center
amp.economist.com,center
statuscoup.com,left
www.rollingstone.com,left
rollingstone.com,left
rol.st,left
elpais.com,left leaning
brasil.elpais.com,left leaning
verne.elpais.com,left leaning
smoda.elpais.com,left leaning
english.elpais.com,left leaning
agendapublica.elpais.com,left leaning
texassignal.com,left
www.nj.com,left leaning
obits.nj.com,left leaning
nj.com,left leaning
on.rt.com,right leaning
francais.rt.com,right leaning
www.rt.com,right leaning
es.rt.com,right leaning
actualidad.rt.com,right leaning
arabic.rt.com,right leaning
ar.rt.com,right leaning
rt.com,right leaning
ru.rt.com,right leaning
deutsch.rt.com,right leaning
prospect.org,left
www.vice.com,left leaning
video.vice.com,left leaning
vice.com,left leaning
motherboard.vice.com,left leaning
i-d.vice.com,left leaning
news.vice.com,left leaning
links.vice.com,left leaning
www.joe.co.uk,left leaning
www.joe.ie,left leaning
thefederalist.com,right
www.propublica.org,left leaning
features.propublica.org,left leaning
projects.propublica.org,left leaning
propub.li,left leaning
link.propublica.org,left leaning
www.globaltimes.cn,left
www.kyivpost.com,left leaning
www.wavy.com,center
www.stripes.com,center
theinsiderpaper.com,right leaning
www.sfchronicle.com,left leaning
sfchronicle.com,left leaning
projects.sfchronicle.com,left leaning
SFChronicle.com,left leaning
www.ft.com,center
on.ft.com,center
ig.ft.com,center
amp.ft.com,center
ft.com,center
www.fox13news.com,center
slate.com,left
www.slate.fr,left
www.slate.com,left
korii.slate.fr,left
Slate.com,left
babylonbee.com,left leaning
www.miamiherald.com,left leaning
amp.miamiherald.com,left leaning
miamiherald.com,left leaning
talkingpointsmemo.com,left
abc7ny.com,center
chicago.suntimes.com,left leaning
bnonews.com,center
projects.fivethirtyeight.com,left leaning
fivethirtyeight.com,left leaning
FiveThirtyEight.com,left leaning
6abc.com,left leaning
6abc.cm,left leaning
www.theverge.com,left leaning
atxne.ws,left leaning
www.chicagobusiness.com,right leaning
weartv.com,right leaning
lawandcrime.com,left leaning
www.star-telegram.com,right leaning
