user_id,degree,community_id,weighted_degree,pagerank
385162111,9,6,13.0,0.0008656707317586693
809586511331074048,7,6,8.0,0.0027221717042328407
16582131,10,6,13.0,0.0006300023154497815
1080807139,9,6,15.0,0.002610283325329463
34093672,14,6,16.0,0.0005727028595037182
778763106289758208,2,0,3.0,0.0006969523617651261
811215353183424513,18,6,19.0,0.0006351298286821985
2559436158,15,7,16.0,0.0013112198977638676
18320938,8,13,10.0,0.0011515655233647391
1075121162743676928,2,13,4.0,0.0007656740090196958
1078741623197048832,16,6,17.0,0.0006916757041565249
166329578,4,13,5.0,0.0008824081654488002
4870478255,17,6,19.0,0.0008979174135026703
2470055959,19,6,23.0,0.0006766272746032969
203649189,15,13,18.0,0.0006408983082020612
2574904722,11,13,14.0,0.0006777033217058813
884026348515115008,12,13,16.0,0.0019674056150367713
1523891821,3,6,4.0,0.0007799094091422733
389512058,1,0,2.0,0.0008691753443136854
38029205,6,13,7.0,0.0009262838282047866
727614725882662912,15,6,17.0,0.0018633249785428895
823992170768121857,18,6,20.0,0.0007941894359732465
885661050,6,7,8.0,0.000898842582861825
23554832,2,6,3.0,0.0006442790480510659
1685873604,9,13,12.0,0.0012654971779272296
27995424,1,0,2.0,0.0008691753443136854
1153872343275622402,4,13,5.0,0.0009280266525050406
3316346737,4,7,5.0,0.0006173879591257637
164679813,25,6,27.0,0.000526072741118353
2750799759,14,5,16.0,0.0006306138437549292
1001254470800424960,3,0,5.0,0.0005317350678283805
347627434,5,0,6.0,0.0008534329431676836
18509967,4,13,8.0,0.0008714341151961416
292565344,5,4,6.0,0.0016920369718346605
3981225735,2,0,3.0,0.0005919490336136965
1317738854,6,1,7.0,0.0006508127771059271
212445456,4,1,5.0,0.002071520971618702
727840825661661184,11,6,13.0,0.0005701053184507152
115129636,4,13,5.0,0.000679118414335864
162301746,4,0,6.0,0.0005587254918128445
1071931879538884608,4,4,5.0,0.0007951978503322338
341194704,4,0,6.0,0.000526072741118353
714949505720823808,14,0,15.0,0.0019023549419138256
1100182336132579329,5,7,6.0,0.000999583756081661
121965768,10,13,11.0,0.0006349197416955172
21059255,50,6,62.0,0.000526072741118353
818893114979061761,7,13,10.0,0.000526072741118353
828444718392627202,9,7,10.0,0.0029971766927813144
379690254,1,0,2.0,0.0005317350678283805
927751333247111168,2,6,3.0,0.0009056292629427926
61015562,3,0,4.0,0.0007982655776947885
964549422645424128,9,5,10.0,0.0038355563719763347
51241418,10,6,12.0,0.0010241243121799466
2178932921,3,13,5.0,0.0005495311762203007
27943005,15,13,18.0,0.0015922589176182692
19038210,16,13,17.0,0.0007597322453710418
15771723,21,7,23.0,0.0009204212420898582
755057897583804416,9,7,11.0,0.0012567103654891009
797932204168876032,18,6,20.0,0.002119270572863408
33537967,44,6,50.0,0.0010614800807240451
158414847,1,4,2.0,0.000546878499727291
15455253,2,0,3.0,0.000526072741118353
3530404094,1,0,2.0,0.0006671307744256483
739844197935644672,5,13,6.0,0.0008792430511330911
945012234215755776,6,7,9.0,0.0010317741908090422
2977031254,18,13,22.0,0.000526072741118353
804758133113397248,24,13,27.0,0.0013710843299609462
1121521087945162752,3,4,4.0,0.000526072741118353
353432348,4,4,5.0,0.0013585409034592814
1108472017144201216,4,0,5.0,0.0008711641518149519
483605396,10,13,11.0,0.0032487588405335013
1022225378054569984,4,7,6.0,0.0015282041388386541
1466174058,2,10,3.0,0.0005523645951642884
30288543,1,10,2.0,0.0009957465053634662
20800248,3,13,4.0,0.0007822912173810024
799010005655633922,1,1,2.0,0.0006327824692158407
471677441,14,1,17.0,0.0005345128130068845
829816396469194752,13,13,14.0,0.0007022033166578308
123281100,11,13,13.0,0.000526072741118353
1089233982422577152,11,7,12.0,0.0018008035353185767
1068285150641995776,4,7,7.0,0.0012367276266768705
3128563494,15,5,19.0,0.0011358868105216444
12354832,24,6,25.0,0.008914672876019266
4071896566,14,5,17.0,0.01259144504540676
1218605146462216193,11,6,12.0,0.0008093017062847619
2905369549,20,6,23.0,0.0010143142926565302
1286506538,16,6,18.0,0.0007022657878411138
158286198,3,0,5.0,0.0011324964282366091
796899745889402880,10,0,11.0,0.0007404072701592097
68752979,4,7,5.0,0.0007656878555607636
220863206,3,13,4.0,0.0006504440309041295
169472184,18,5,20.0,0.0013081200412552007
817158775610179584,5,0,7.0,0.0013688920576827425
934500442364559360,4,13,5.0,0.0005462765168464613
528999980,3,0,4.0,0.0008597674111456611
3188352661,8,6,10.0,0.002004624829076512
1034868411354861568,9,6,10.0,0.000653276724212334
930882041566068742,2,7,3.0,0.001814428054648721
1041718006747820032,1,6,2.0,0.0007714285961592333
824126001936474113,1,13,2.0,0.0006924089521927481
929072087880421376,3,0,4.0,0.0011966561891597208
72627916,1,11,2.0,0.000526072741118353
65728343,1,11,2.0,0.0009733965512105194
1106771843929788419,1,13,2.0,0.0007405135128748764
18534077,2,7,3.0,0.0007454535510054948
78685709,1,0,2.0,0.0005317350678283805
803091707361251328,9,6,10.0,0.0012678090182635278
468097166,16,6,19.0,0.0011289002779450307
832368258766434304,16,6,17.0,0.0006508552931018738
1127347059676385280,17,6,20.0,0.0009579695367828553
1383905040,17,6,21.0,0.0012400955321501478
896496644656685056,23,6,26.0,0.001581068783506785
3421301013,5,13,6.0,0.0007064520855369738
244655353,6,9,7.0,0.000526072741118353
851751855487148032,12,9,15.0,0.0012465158329351017
19080151,2,13,3.0,0.000526072741118353
797408396,13,6,14.0,0.000660795311394507
291336460,13,13,15.0,0.0009163588273052401
292083207,2,7,3.0,0.000526072741118353
880589099140296704,3,7,4.0,0.000836053367755156
281383605,16,5,17.0,0.0005547006117171238
21293089,5,5,6.0,0.0007397119129500089
326756275,4,7,5.0,0.001262924669377612
814979549503115264,15,0,22.0,0.00189099482788101
269913457,14,6,15.0,0.0010716535701708245
63996778,4,0,5.0,0.0005814377133941767
454099919,12,6,13.0,0.0005757801726320934
969269686130049025,19,6,20.0,0.0006904518083210916
80897255,10,13,11.0,0.0006454890793585765
292929271,5,0,9.0,0.0006198064354550749
14839147,1,0,2.0,0.000526072741118353
1148738277735895040,18,13,24.0,0.007530882949576253
61734492,4,13,5.0,0.000927087407749667
16740433,3,0,4.0,0.0005874498715111372
72076895,4,6,5.0,0.000526072741118353
766719206247108608,3,6,4.0,0.0008196301736783692
832170559,3,4,4.0,0.000546878499727291
926859582302928896,14,6,16.0,0.0007753070274350753
1091216816,1,0,2.0,0.0005891178702586827
1198635975251025924,16,7,17.0,0.0008679618301517761
15976705,5,13,7.0,0.0008584552881946875
779476491092434944,4,0,5.0,0.0006159767649714614
13900252,9,5,10.0,0.0008196742780680276
767444621383311360,15,6,16.0,0.001344992494753474
16959075,2,7,3.0,0.000526072741118353
845348489777332229,4,7,5.0,0.0019090978383982723
46512964,17,6,18.0,0.0007560313578553975
50769180,3,0,4.0,0.0005567613063147451
878247600096509952,2,0,3.0,0.000526072741118353
4900058284,34,6,35.0,0.000526072741118353
25645203,7,6,8.0,0.0006502468911046694
1056234954458193920,7,7,8.0,0.0005900781699854452
2936492047,2,7,3.0,0.0008455483515866634
829715365223682048,4,7,5.0,0.000526072741118353
4771249940,14,7,15.0,0.00411772942285399
2801177472,2,0,3.0,0.0007963723002134312
113364160,6,7,8.0,0.000526072741118353
